ITEM_NAME,START_DATETIME,OIL_CUM,WATER_CUM,GAS_CUM,Tank
A-1-P,11/1/2000,10915.0,526.0,10915.0,zone_a
A-1-P,12/1/2000,24902.0,1124.0,24902.0,zone_a
A-1-P,1/1/2001,36836.0,1726.0,36836.0,zone_a
A-1-P,2/1/2001,46485.0,2234.0,46485.0,zone_a
A-1-P,3/1/2001,57819.0,8099.0,57819.0,zone_a
A-1-P,4/1/2001,68481.0,14096.0,68481.0,zone_a
A-1-P,5/1/2001,76400.0,19784.0,76400.0,zone_a
A-1-P,6/1/2001,83152.0,25444.0,83152.0,zone_a
A-1-P,7/1/2001,91655.0,33614.0,91655.0,zone_a
A-1-P,8/1/2001,98961.0,44757.0,98961.0,zone_a
A-1-P,9/1/2001,107066.0,44982.0,107066.0,zone_a
A-1-P,10/1/2001,115777.0,45270.0,115777.0,zone_a
A-1-P,11/1/2001,122708.0,48532.0,122708.0,zone_a
A-1-P,12/1/2001,127279.0,51856.0,127279.0,zone_a
A-1-P,1/1/2002,131559.0,55045.0,131559.0,zone_a
A-1-P,2/1/2002,136852.0,57945.0,136852.0,zone_a
A-1-P,3/1/2002,143127.0,61265.0,143127.0,zone_a
A-1-P,4/1/2002,148920.0,64357.0,148920.0,zone_a
A-1-P,5/1/2002,155962.0,67550.0,155962.0,zone_a
A-1-P,6/1/2002,162399.0,70635.0,162399.0,zone_a
A-1-P,7/1/2002,172727.0,74023.0,172727.0,zone_a
A-1-P,8/1/2002,178968.0,77167.0,178968.0,zone_a
A-1-P,9/1/2002,185240.0,80500.0,185240.0,zone_a
A-1-P,10/1/2002,189765.0,83619.0,189765.0,zone_a
A-1-P,11/1/2002,195578.0,86749.0,195578.0,zone_a
A-1-P,12/1/2002,199819.0,89922.0,199819.0,zone_a
A-1-P,1/1/2003,205502.0,93175.0,205502.0,zone_a
A-1-P,2/1/2003,214244.0,96262.0,214244.0,zone_a
A-1-P,3/1/2003,220533.0,99723.0,220533.0,zone_a
A-1-P,4/1/2003,226360.0,102833.0,226360.0,zone_a
A-1-P,5/1/2003,231756.0,105428.41,231756.0,zone_a
A-1-P,6/1/2003,237127.0,108257.41,237127.0,zone_a
A-1-P,7/1/2003,242216.0,111601.52,242216.0,zone_a
A-1-P,8/1/2003,247673.0,114857.49,247673.0,zone_a
A-1-P,9/1/2003,252253.0,117917.15,252253.0,zone_a
A-1-P,10/1/2003,258261.0,121238.15,258261.0,zone_a
A-1-P,11/1/2003,264746.0,122951.15,264746.0,zone_a
A-1-P,12/1/2003,272155.0,124861.15,272155.0,zone_a
A-1-P,1/1/2004,280647.0,126892.15,280647.0,zone_a
A-1-P,2/1/2004,288783.0,129042.15,288783.0,zone_a
A-1-P,3/1/2004,295215.0,130711.15,295215.0,zone_a
A-1-P,4/1/2004,303779.0,131694.15,303779.0,zone_a
A-1-P,5/1/2004,311819.0,132843.15,311819.0,zone_a
A-1-P,6/1/2004,319508.0,133931.15,319508.0,zone_a
A-1-P,7/1/2004,327773.0,135079.15,327773.0,zone_a
A-1-P,8/1/2004,336632.0,135923.15,336632.0,zone_a
A-1-P,9/1/2004,345058.0,136787.15,345058.0,zone_a
A-1-P,10/1/2004,353971.0,138049.15,353971.0,zone_a
A-1-P,11/1/2004,363116.0,139284.15,363116.0,zone_a
A-1-P,12/1/2004,374283.0,140443.15,374283.0,zone_a
A-1-P,1/1/2005,385345.0,141755.15,385345.0,zone_a
A-1-P,2/1/2005,395309.0,143038.03,395309.0,zone_a
A-1-P,3/1/2005,406397.0,144339.03,406397.0,zone_a
A-1-P,4/1/2005,415658.0,145772.03,415658.0,zone_a
A-1-P,5/1/2005,424712.0,147185.03,424712.0,zone_a
A-1-P,6/1/2005,433898.0,148274.03,433898.0,zone_a
A-1-P,7/1/2005,443350.0,149454.03,443350.0,zone_a
A-1-P,8/1/2005,450617.0,150325.03,450617.0,zone_a
A-1-P,9/1/2005,462484.0,150692.03,462484.0,zone_a
A-1-P,10/1/2005,470831.0,150950.19,470831.0,zone_a
A-1-P,11/1/2005,478322.0,151584.19,478322.0,zone_a
A-1-P,12/1/2005,487075.0,151855.19,487075.0,zone_a
A-1-P,1/1/2006,495926.0,152129.19,495926.0,zone_a
A-1-P,2/1/2006,504664.0,152399.19,504664.0,zone_a
A-1-P,3/1/2006,514006.0,154590.19,514006.0,zone_a
A-1-P,4/1/2006,523517.0,157058.19,523517.0,zone_a
A-1-P,5/1/2006,530779.0,158191.19,530779.0,zone_a
A-1-P,6/1/2006,538103.0,159534.19,538103.0,zone_a
A-1-P,7/1/2006,547139.0,163806.19,547139.0,zone_a
A-1-P,8/1/2006,555107.0,166090.64,555107.0,zone_a
A-1-P,9/1/2006,561323.0,169851.34,561323.0,zone_a
A-1-P,10/1/2006,567014.0,173938.34,567014.0,zone_a
A-1-P,11/1/2006,571606.0,177479.36,571606.0,zone_a
A-1-P,12/1/2006,577976.0,179524.36,577976.0,zone_a
A-1-P,1/1/2007,585370.0,181695.36,585370.0,zone_a
A-1-P,2/1/2007,591662.0,183318.36,591662.0,zone_a
A-1-P,3/1/2007,600664.0,185162.36,600664.0,zone_a
A-1-P,4/1/2007,609315.0,187476.36,609315.0,zone_a
A-1-P,5/1/2007,616536.0,189633.36,616536.0,zone_a
A-1-P,6/1/2007,620469.0,194231.36,620469.0,zone_a
A-1-P,7/1/2007,623911.0,196936.36,623911.0,zone_a
A-1-P,8/1/2007,630005.0,198665.36,630005.0,zone_a
A-1-P,9/1/2007,633667.0,200033.36,633667.0,zone_a
A-1-P,10/1/2007,638396.0,202021.8,638396.0,zone_a
A-1-P,11/1/2007,646583.0,204290.8,646583.0,zone_a
A-1-P,12/1/2007,654112.0,206539.8,654112.0,zone_a
A-1-P,1/1/2008,662110.0,208589.5,662110.0,zone_a
A-1-P,2/1/2008,668265.0,210315.55,668265.0,zone_a
A-1-P,3/1/2008,672564.0,211995.64,672564.0,zone_a
A-1-P,4/1/2008,676934.0,215965.64,676934.0,zone_a
A-1-P,5/1/2008,681841.0,219592.64,681841.0,zone_a
A-1-P,6/1/2008,688378.0,224154.64,688378.0,zone_a
A-1-P,7/1/2008,694899.0,228538.47,694899.0,zone_a
A-1-P,8/1/2008,699736.0,234355.47,699736.0,zone_a
A-1-P,9/1/2008,707681.0,240015.47,707681.0,zone_a
A-1-P,10/1/2008,712946.0,245929.47,712946.0,zone_a
A-1-P,11/1/2008,719672.0,251613.47,719672.0,zone_a
A-1-P,12/1/2008,726024.0,263835.47,726024.0,zone_a
A-1-P,1/1/2009,728443.0,275004.07,728443.0,zone_a
A-1-P,2/1/2009,733519.0,290395.37,733519.0,zone_a
A-1-P,3/1/2009,736694.0,295138.06,736694.0,zone_a
A-1-P,4/1/2009,741244.0,298543.06,741244.0,zone_a
A-1-P,5/1/2009,750394.0,306090.05,750394.0,zone_a
A-1-P,6/1/2009,755355.0,309551.05,755355.0,zone_a
A-1-P,7/1/2009,759010.0,312505.21,759010.0,zone_a
A-1-P,8/1/2009,763294.0,316303.82,763294.0,zone_a
A-1-P,9/1/2009,769222.0,321115.21,769222.0,zone_a
A-1-P,10/1/2009,773746.0,324285.02,773746.0,zone_a
A-1-P,11/1/2009,778338.0,328644.55,778338.0,zone_a
A-1-P,12/1/2009,783764.0,332525.55,783764.0,zone_a
A-1-P,1/1/2010,787338.0,335987.55,787338.0,zone_a
A-1-P,2/1/2010,791276.0,339170.89,791276.0,zone_a
A-1-P,3/1/2010,796139.0,342592.89,796139.0,zone_a
A-1-P,4/1/2010,799774.0,345402.89,799774.0,zone_a
A-1-P,5/1/2010,804004.0,347984.89,804004.0,zone_a
A-1-P,6/1/2010,807089.0,349867.82,807089.0,zone_a
